show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;note
80097389;movie;swiss army man;dan kwan, daniel scheinert;paul dano, daniel radcliffe, mary elizabeth winstead, antonia ribero, timothy eulich, richard gross, marika casteel, andy hull, aaron marshall, shane carruth;united states, sweden;january 30, 2019;2016;r;97 min;comedies, dramas, independent movies;a washed-up corpse with surprising abilities gives a hopeless man stranded in the wilderness someone to talk to â€“ and a newfound reason to live.;7,0 based on 101 053 user ratings
80221639;movie;the incredibles 2;brad bird;craig t. nelson, holly hunter, samuel l. jackson, sarah vowell, huck milner, catherine keener, bob odenkirk, sophia bush, brad bird, john ratzenberger;united states;january 30, 2019;2018;pg;118 min;children & family movies, comedies;when elastigirl gets recruited for a high-profile crime-fighting mission, mr. incredible takes on his toughest assignment ever: full-time parenting.;7,6 based on 234 607 user ratings
70099120;movie;the longshots;fred durst;ice cube, keke palmer, tasha smith, jill marie jones, dash mihok, matt craven, glenn plummer, garrett morris, miles chandler, malcolm goodwin;united states;january 30, 2019;2008;pg;95 min;comedies, dramas, sports movies;when an 11-year-old girl becomes pop warner football's first female quarterback, she raises eyebrows â€“ till she takes her team to the brink of glory.;5,4 based on 3 786 user ratings
81024718;movie;virsa;pankaj batra;arya babbar, kanwaljeet singh, gulshan grover, mehreen raheel, aparna sharma, aman dhaliwal, noman ijaz;india, pakistan;january 30, 2019;2010;tv-14;127 min;dramas, international movies, music & musicals;a man is disheartened when he visits his well-to-do son and grandkids in australia and sees they have detached from their traditional indian morals.;5,7 based on 113 user ratings
21028726;movie;jerry seinfeld: i'm telling you for the last time;marty callner;jerry seinfeld;united states;january 30, 2018;1998;tv-g;69 min;stand-up comedy;months after his classic tv sitcom ends, the legendary comic returns to his stand-up roots to deliver his best jokes on a sold-out international tour.;7,9 based on 5 072 user ratings
80019930;movie;monster high: freaky fusion;william lau, sylvain blais;cam clarke, audu paden, laura bailey, cindy robinson, erin fitzgerald, kate higgins, salli saffioti, sue swan, haviland stillwell, paula rhodes, america young, stephanie sheh, josey montana mccoy;united states;january 30, 2018;2014;tv-y7;74 min;children & family movies;when frankie stein travels back in time, a teen scientist follows her home into the present and causes a lab accident that creates four new monsters.;6,9 based on 503 user ratings
80141960;tv show;retribution;nan;georgina campbell, joe dempsie, adrian edmondson, steve evets, laura fraser, julie graham, john lynch, gary lewis, juliet stevenson, joanna vanderham;united kingdom;january 30, 2018;2016;tv-ma;1 season;british tv shows, crime tv shows, international tv shows;a dark web of secrets and lies emerges when a newlywed couple is killed and detectives question their feuding families.;7,0 based on 5 820 user ratings
80226168;tv show;the lady in dignity;nan;hee-seon kim, seon-a kim, sang-hun jeong, tae-im lee, ki-woo lee;south korea;january 30, 2018;2017;tv-ma;1 season;international tv shows, korean tv shows, tv dramas;the wife of a corporate heir finds her luxurious life overturned by a mysterious woman who joins the household as a caregiver for her father-in-law.;7,6 based on 137 user ratings
81006825;movie;all the freckles in the world;yibrã¡n asuad;hã¡nssel casillas, loreto peralta, andrea sutton, luis de la rosa, alejandro flores, anajosã© aldrete, daniel haddad, montserrat maraã±ã³n, juan carlos viana prieto, hernã¡n del riego;mexico;january 3, 2020;2020;tv-14;90 min;comedies, international movies, romantic movies;thirteen-year-old josã© miguel is immune to 1994 world cup fever until he realizes soccer is the only way to win the heart of his crush.;5,2 based on 913 user ratings
81213891;movie;deewangee;anees bazmee;ajay devgn, akshaye khanna, urmila matondkar, farida jalal, vijayendra ghatge;india;january 3, 2020;2002;tv-ma;156 min;international movies, thrillers;hired by a singer to defend her friend, who has been accused of murder, a formidable lawyer learns that the man he represents may not be innocent.;6,6 based on 2 428 user ratings
